j,phi,pi
0,0.629366,6.31463
1,0.691229,6.30846
2,0.750364,6.27739
3,0.806537,6.22155
4,0.859528,6.14115
5,0.909126,6.03652
6,0.955137,5.90807
7,0.997378,5.75629
8,1.03568,5.58181
9,1.0699,5.38529
10,1.09989,5.16752
11,1.12555,4.92935
12,1.14676,4.67173
13,1.16345,4.39568
14,1.17554,4.10227
15,1.183,3.79268
16,1.18578,3.46812
17,1.18389,3.12987
18,1.17733,2.77927
19,1.16611,2.4177
20,1.1503,2.04659
21,1.12995,1.6674
22,1.10513,1.28164
23,1.07596,0.89081
24,1.04254,0.496468
25,1.005,0.100167
26,0.963503,-0.29653
27,0.918199,-0.692056
28,0.869271,-1.08485
29,0.816913,-1.47336
30,0.761331,-1.85606
31,0.702744,-2.23144
32,0.641384,-2.598
33,0.577492,-2.95432
34,0.511322,-3.29897
35,0.443133,-3.63061
36,0.373196,-3.94792
37,0.301786,-4.24964
38,0.229184,-4.5346
39,0.155679,-4.80166
40,0.0815586,-5.04976
41,0.00711666,-5.27794
42,-0.0673534,-5.48529
43,-0.141558,-5.671
44,-0.215203,-5.83432
45,-0.288,-5.97461
46,-0.359659,-6.09133
47,-0.429899,-6.18401
48,-0.498443,-6.25228
49,-0.56502,-6.29588
50,-0.629366,-6.31463
51,-0.691229,-6.30846
52,-0.750364,-6.27739
53,-0.806537,-6.22155
54,-0.859528,-6.14115
55,-0.909126,-6.03652
56,-0.955137,-5.90807
57,-0.997378,-5.75629
58,-1.03568,-5.58181
59,-1.0699,-5.38529
60,-1.09989,-5.16752
61,-1.12555,-4.92935
62,-1.14676,-4.67173
63,-1.16345,-4.39568
64,-1.17554,-4.10227
65,-1.183,-3.79268
66,-1.18578,-3.46812
67,-1.18389,-3.12987
68,-1.17733,-2.77927
69,-1.16611,-2.4177
70,-1.1503,-2.04659
71,-1.12995,-1.6674
72,-1.10513,-1.28164
73,-1.07596,-0.89081
74,-1.04254,-0.496468
75,-1.005,-0.100167
76,-0.963503,0.29653
77,-0.918199,0.692056
78,-0.869271,1.08485
79,-0.816913,1.47336
80,-0.761331,1.85606
81,-0.702744,2.23144
82,-0.641384,2.598
83,-0.577492,2.95432
84,-0.511322,3.29897
85,-0.443133,3.63061
86,-0.373196,3.94792
87,-0.301786,4.24964
88,-0.229184,4.5346
89,-0.155679,4.80166
90,-0.0815586,5.04976
91,-0.00711666,5.27794
92,0.0673534,5.48529
93,0.141558,5.671
94,0.215203,5.83432
95,0.288,5.97461
96,0.359659,6.09133
97,0.429899,6.18401
98,0.498443,6.25228
99,0.56502,6.29588

