control,N,size,time
control,1000,1,0.873058
control,2000,1,1.69192
control,3000,1,2.548
control,4000,1,3.40617
control,5000,1,4.20352
control,1000,2,0.628461
control,2000,2,1.10064
control,3000,2,1.53544
control,4000,2,1.96695
control,5000,2,2.4352
control,1000,3,0.536076
control,2000,3,0.866072
control,3000,3,1.19768
control,4000,3,1.53047
control,5000,3,1.85001
control,1000,4,0.480721
control,2000,4,0.797854
control,3000,4,1.05032
control,4000,4,1.3002
control,5000,4,1.57318
control,1000,5,0.457993
control,2000,5,0.747532
control,3000,5,0.990821
control,4000,5,1.22029
control,5000,5,1.4356
control,1000,6,0.458913
control,2000,6,0.746962
control,3000,6,1.02752
control,4000,6,1.40011
control,5000,6,1.64573
control,1000,7,0.659555
control,2000,7,0.967082
control,3000,7,1.36698
control,4000,7,1.70244
control,5000,7,2.06403
